data_source,ID,food_name,food_img,recipe_link,serving,category_high_level,category_mid_level,category_low_level,created_date,views,likes,reviews,comments,재료1,재료2,재료3,재료4,재료5,재료6,재료7,재료8,재료9,재료10,재료1_정량,재료2_정량,재료3_정량,재료4_정량,재료5_정량,재료6_정량,재료7_정량,재료8_정량,재료9_정량,재료10_정량,rating
youtube,2000202,토마토 달걀 볶음! 드셔보셨나요?,,https://www.youtube.com/watch?v=pTvMsM2v1tg&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=203&pp=iAQB,,,,,2020-04-02,8356463,116933,0,3651,토마토,달걀,대파,진간장,굴소스,참기름,,,,,250g,4개,1/2컵,1큰술,1큰술,1/2큰술,,,,,0.6439130811195894
youtube,2000259,냉동만두 쉽게 굽기! 사라는 거 아닙니다!ㅎㅎㅎ ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/cnWyo34CPUY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCx-NwyPsvWE0HD5QfV08jiY67oSA,https://www.youtube.com/watch?v=cnWyo34CPUY&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=260&pp=iAQB,,,,,2019-12-03,7892746,62758,0,3767,,,,,,,,,,,,,,,,,,,,,0.6038536654091491
youtube,2000160,식당에서 먹는 닭볶음탕의 비법은 바로~ What is the secret of Dak-bokkeum-tang in a restaurant?,https://i.ytimg.com/vi/eeiqjyYgPew/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCq0Fdbo8xxDp-o669Vevf9g5A8OA,https://www.youtube.com/watch?v=eeiqjyYgPew&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=161&pp=iAQB,,,,,2020-07-02,7753421,71699,0,2837,토막 닭고기,물,대파,청양고추,홍고추,새송이버섯,표고버섯,당근,양파,감자,1마리,3컵,2대,3개,2개,2개,2개,1/3개,1개,2개,0.5936941328804093
youtube,2000306,강식당2 화제의 메뉴! 김치밥이 피오씁니다 ㅣ 백종원의 백종원 레시피,,https://www.youtube.com/watch?v=R6IT_f0XPT8&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=307&pp=iAQB,,,,,2019-07-15,7667256,130901,0,0,식용유,김치,대파,고운고춧가루,진간장,황설탕,밥,김가루,모짜렐라,옥수수콘,1큰술,1/3컵,1/2컵,1큰술,1큰술,1작은술,1공기,1/2컵,1/2컵,1/2컵,0.5913885594506423
youtube,2000269,"햄,치즈,달걀 환상조화 국민 간식 토스트, 신박하게 쉬운 방법~! ㅣ 백종원의 쿠킹로그",https://i.ytimg.com/vi/z-XcuZL80Lc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCuWVP7yuhWSc__oifK_0QeUu6Rsg,https://www.youtube.com/watch?v=z-XcuZL80Lc&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=270&pp=iAQB,,,,,2019-10-24,7668937,85203,0,2884,식빵,황설탕,,,,,,,,,1장,1큰술,,,,,,,,,0.5882061718034404
youtube,2000191,대파 듬뿍! 삼겹살로 만든 '대파 제육볶음',https://i.ytimg.com/vi/j7s9VRsrm9o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCNsKyuCY7jQkZSfTQlsA_VY236Q,https://www.youtube.com/watch?v=j7s9VRsrm9o&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=192&pp=iAQB,,,,,2020-04-24,7626072,70465,0,2742,삼겹살,통마늘,청양고추,대파,물,진간장,설탕 1.,굵은 고춧가루,고운 고춧가루,참기름,300g,8알,3개,2대,1/3컵,3큰술,5큰술,1큰술,1큰술,1/2큰술,0.5837385430214974
youtube,2000315,양파 농가를 응원합니다! 만능양파볶음 대작전 1편: 양파 손질과 보관법 ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/0hYm1QOJZeo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEIcaLHzSoFP7hB3TbTZQgY4fOOw,https://www.youtube.com/watch?v=0hYm1QOJZeo&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=316&pp=iAQB,,,,,2019-06-22,7561570,90100,0,3859,,,,,,,,,,,,,,,,,,,,,0.5803536827009499
youtube,2000210,생일 축하합니다~♬ 참 쉬운 미역국 끓이기!,https://i.ytimg.com/vi/xsTFsunt6-8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7cSEI_0ofVP8FvdpU7qno1c9cgg,https://www.youtube.com/watch?v=xsTFsunt6-8&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=211&pp=iAQB,,,,,2020-03-20,7213389,76931,0,2574,자른미역,참기름,국간장,물 약,다진마늘,멸치액젓 1과,,,,,1/3컵,2큰술,3큰술,7컵,2/3큰술,1/2큰술,,,,,0.5522972524759964
youtube,2000208,집에 있는 재료로 만드는 김치볶음밥!,https://i.ytimg.com/vi/eIo2BaE6LxI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9zvsNA0GsDuew1NHKEN5cFEjklg,https://www.youtube.com/watch?v=eIo2BaE6LxI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=209&pp=iAQB,,,,,2020-03-24,7179718,64335,0,1880,김치,소시지,대파,식용유,진간장,고운고춧가루,설탕,즉석밥,달걀,,1컵,2개,1/2컵,3큰술,1/2큰술,1/3큰술,1/3큰술,1개,1개,,0.5486639627499796
youtube,2000286,달걀 후라이 만큼 정~말 쉬운 '전' 보여드릴게요. 육전/동태전/호박전/배추전/새우전/버섯전에 막걸리 각! ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/tHkbJgBUaiI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdP9uU8ibEaJ5o6X7QZMDP_g21Pg,https://www.youtube.com/watch?v=tHkbJgBUaiI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=287&pp=iAQB,,,,,2019-09-03,7122196,79577,0,2197,알배기 배추,애호박,,,,,,,,,4장,1/2개,,,,,,,,,0.5454173594669824
youtube,2000218,된장찌개 '1' (제일 쉬운 버전),https://i.ytimg.com/vi/ffuakdFmuh4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSGN_KGWSDhbna0GjTKS2uPHzTRQ,https://www.youtube.com/watch?v=ffuakdFmuh4&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=219&pp=iAQB,,,,,2020-03-05,7067518,65865,0,1874,된장,물 약,간마늘,육수용멸치,애호박,양파,느타리버섯,대파,청양고추,홍고추,1/3컵,4컵,1/2큰술,10마리,1/2개,1/2개,1컵,2/3컵,2개,1/2개,0.5401011558737074
youtube,2000178,[Sub] 정말 '크리미'해요. 집에서 간단하게 색다른 오므라이스!!,https://i.ytimg.com/vi/AlK2Gl6kHZI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArPr5KtqsED16v7L3Enfy9e1dpXg,https://www.youtube.com/watch?v=AlK2Gl6kHZI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=179&pp=iAQB,,,,,2020-05-26,6773348,72147,0,2346,밀가루,식용유,케첩,간장,황설탕 1.,식초,물,소고기다시다,,,1큰술,2큰술,2큰술,2큰술,5큰술,1큰술,1컵,1/3큰술,,,0.5178642869847827
youtube,2000320,"이것이 업소 스케일! 백종원의 대용량 레시피 첫 번째, 제육볶음 100인분 만들기 l 백종원의 대용량 레시피",https://i.ytimg.com/vi/thXIVUt9PBU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAQ44sBC5uR6fNN8T6V3kTqaEkUQ,https://www.youtube.com/watch?v=thXIVUt9PBU&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=321&pp=iAQB,,,,,2019-06-10,6490556,91485,0,10758,양파,양배추,돼지호박,청양고추,홍고추,풋고추,당근,대파,,,2kg,2kg,1kg,100g,100g,200g,500g,500g,,,0.498132137364827
youtube,2000214,우리집 밥도둑! 진미채볶음!!,https://i.ytimg.com/vi/xecKUiZBCtM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCfwyLs97mndU8eeE0QuLqYPHBUQg,https://www.youtube.com/watch?v=xecKUiZBCtM&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=215&pp=iAQB,,,,,2020-03-12,6472944,70783,0,1517,오징어채,고추장,고운고춧가루,참기름,물엿,황설탕,물,마요네즈,통깨,,200g,1/3컵,1/4컵,3큰술,1/3컵,1/4컵,1/6컵,1/3컵,3g,,0.4944528909066868
youtube,2000143,초간단 1분 라볶이,https://i.ytimg.com/vi/6e-IbuuD6ZU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAL17u4re-GU5Kk6Z3OCUsDoEgQGw,https://www.youtube.com/watch?v=6e-IbuuD6ZU&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=144&pp=iAQB,,,,,2020-08-05,6255362,71198,0,4097,순한맛라면,대파 약,정수물 1과,황설탕,고추장,,,,,,1개,1/3대,1/2컵,1큰술,1큰술,,,,,,0.477850673269994
youtube,2000211,김치와 고기가 쭉쭉 찢어지는 김치찜!,https://i.ytimg.com/vi/RVfSeUZ8XkY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC6P1DmjBkrrQ4T8TJtpXOWypIq8Q,https://www.youtube.com/watch?v=RVfSeUZ8XkY&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=212&pp=iAQB,,,,,2020-03-19,6152951,61242,0,1741,돼지고기전지,신김치 1.,양파,대파,청양고추,황설탕,국간장,된장,간마늘,굵은고춧가루,1kg,3kg,1/2개,1컵,3개,3큰술,2큰술,1큰술,1큰술,2큰술,0.4689747571430417
youtube,2000187,[ENG] 무엇이든 다 어울리는 '만능 장아찌 소스' 만들기!,https://i.ytimg.com/vi/xNUvkgONOOM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCy1yeSED1tbfFEQibq8VUE0klhxg,https://www.youtube.com/watch?v=xNUvkgONOOM&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=188&pp=iAQB,,,,,2020-05-06,6025252,79817,0,2494,진간장,식초 1과,설탕 1과,물,,,,,,,2컵,1/3컵,1/2컵,2컵,,,,,,,0.4605902840505149
youtube,2000301,강식당2 화제의 비빔 국수!! 니가 비비바락 국수 양념장 만들기 l 백종원의 대용량 레시피,https://i.ytimg.com/vi/cNfbDK9vIFI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIoar8rXs_sjiC9ta1QZEpKve__A,https://www.youtube.com/watch?v=cNfbDK9vIFI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=302&pp=iAQB,,,,,2019-07-29,5986184,66233,0,2909,,간 돼지고기,정수물,양파,대파 8,맛술,황설탕,물엿,진간장,간 배 5컵 - 배2개 + 물,60인분,5컵,3컵,3컵,1/3컵,3컵,3컵,3컵,6컵,2컵,0.4565487995118992
youtube,2000260,대한민국 대표 음식 김치! 맛있는 여러 가지 김치 눈으로 맛보고 가세요~ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/K55CPyYTUJI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCiucD6qBEoYgXy0r_M3Z_PrLz7GA,https://www.youtube.com/watch?v=K55CPyYTUJI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=261&pp=iAQB,,,,,2019-11-29,5720675,63113,0,2667,,,,,,,,,,,,,,,,,,,,,0.4357467245577071
youtube,2000290,"팔아도 될 만큼 맛있는 김치찌개 비법전수! 돼지고기, 햄, 꽁치 등 기본 양념장으로 다 만들 수 있어요! l 백종원의 대용량 레시피",https://i.ytimg.com/vi/9J_tqZrDSng/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDqoFKL8P9gb7PJgF2P5vFw5PCUsw,https://www.youtube.com/watch?v=9J_tqZrDSng&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=291&pp=iAQB,,,,,2019-08-26,5673606,58098,0,0,,,,,,,,,,,,,,,,,,,,,0.4315107362740432
youtube,2000314,양파 농가를 응원합니다! 만능양파볶음 대작전 2편: 만능양파볶음 완성! 소분 및 보관하기 ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/uAShnbgCLSU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCboz7GwqtAeiC4X9ip59mRynnUnQ,https://www.youtube.com/watch?v=uAShnbgCLSU&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=315&pp=iAQB,,,,,2019-06-25,5617986,75512,0,4312,식용유,,,,,,,,,,300ml,,,,,,,,,,0.4288884172865087
youtube,2000129,집에서 '크림 파스타'쯤이야,https://i.ytimg.com/vi/0bnFoRQebq0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHghH68QjpSM0LjpHw_uEN82SzWw,https://www.youtube.com/watch?v=0bnFoRQebq0&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=130&pp=iAQB,,,,,2020-09-14,5605781,60094,0,2432,정수물 8과,스파게티면,꽃소금,베이컨,양파,양송이 버섯 1과,밀가루,,,,1/3컵,90g,1큰술,2줄,1/2개,1/2개,1/2큰술,,,,0.4266058222228033
youtube,2000283,명절에 빠질 수 없는 '잡채' 이번 추석에는 온 가족이 다함께 만들어 보는 건 어떠세요? l 백종원의 쿠킹로그,https://i.ytimg.com/vi/DNj3YiaP42s/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzdhkHA6cQIlUU2rHmb1C7SZ_dOw,https://www.youtube.com/watch?v=DNj3YiaP42s&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=284&pp=iAQB,,,,,2019-09-09,5573465,57454,0,1433,당면,시금치,건 목이버섯,양파,대파,당근,진간장,황설탕,참기름,,250g,150g,1/2컵,2컵,2/3컵,2/3컵,4큰술,2큰술,4큰술,,0.4238240473010826
youtube,2000273,가을 햇무가 좋은 시기입니다. 가을 무로 만드는 간단한 무생채와 맛있는 무생채 비빔밥입니다! ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/dXN1dlsYdJI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBrRxcN7eoOTmh--8mXLnALs_wH9g,https://www.youtube.com/watch?v=dXN1dlsYdJI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=274&pp=iAQB,,,,,2019-10-15,5333019,62124,0,1976,무,고운고춧가루,황설탕,간마늘,식초,꽃소금,대파,깨소금,,,1/2개,1/4컵,2큰술,1큰술,1/4컵,2큰술,1컵,1큰술,,,0.4056244850660349
youtube,2000251,소고기 무국! 이거 하나면 국을 20가지는 만들 수 있습니다. ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/vG07DHeNH9c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFT9qKuVtVepadpyADSu89zNL0Ug,https://www.youtube.com/watch?v=vG07DHeNH9c&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=252&pp=iAQB,,,,,2019-12-22,5005173,52767,0,1277,무 1과,소양지,양파,참기름,식용유,대파,간마늘,국간장,멸치액젓,꽃소금,1/2컵,1컵,1/4개,1큰술,1큰술,1/3컵,1큰술,2큰술,2큰술,1/2큰술,0.3794816034195522
youtube,2000317,뚝배기 계란찜 l 백종원의 백종원 레시피,https://i.ytimg.com/vi/_H64Kz7Mgz4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApzyx0eBj5E0R7m75MkxZGNUQ0sQ,https://www.youtube.com/watch?v=_H64Kz7Mgz4&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=318&pp=iAQB,,,,,2019-06-18,4946182,74090,0,4161,,,,,,,,,,,,,,,,,,,,,0.3767904267020683
youtube,2000111,김장에는 수육이죠! 뻑뻑하지 않게 삶는 방법 공개!,https://i.ytimg.com/vi/rGAt5QS2ueU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHSxKoeMXQycSCUEu_jWs9viKoaA,https://www.youtube.com/watch?v=rGAt5QS2ueU&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=112&pp=iAQB,,,,,2020-12-15,4968207,49940,0,1647,,,,,,,,,,,,,,,,,,,,,0.3764315154557364
youtube,2000239,설날 준비 LA갈비! ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/37-BCf85bHk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDd1VTqWNMvf0SYnYeh_yk5uhvbKA,https://www.youtube.com/watch?v=37-BCf85bHk&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=240&pp=iAQB,,,,,2020-01-21,4878442,61050,0,1496,LA갈비,진간장,황설탕,맛술,간마늘,간생강,대파,참기름,정수물,,1kg,1컵,1/2컵,1/2컵,1/4컵,1/2큰술,1컵,2큰술,3컵,,0.3703344342575407
youtube,2000205,막걸리가 생각나는 '부추전',,https://www.youtube.com/watch?v=wfm951HEpGU&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=206&pp=iAQB,,,,,2020-03-30,4783968,57033,0,2024,부추,당근,청양고추,부침가루 1과,물 1과,멸치액젓,건새우,식용유,간마늘,,200g,1/6개,4개,1/2컵,1/2컵,1큰술,1/2컵,3큰술,1큰술,,0.3627552097642427
youtube,2000119,겉바속촉 초간단 감자전,https://i.ytimg.com/vi/N82hJpl5cMM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzDfY3Kv6ydKPlCKNQz9A8jpmrOg,https://www.youtube.com/watch?v=N82hJpl5cMM&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=120&pp=iAQB,,,,,2020-11-03,4590284,65424,0,1387,감자 2-,식용유,물,청양고추,진간장,식초,,,,,3개,4큰술,2컵,1개,3큰술,1큰술,,,,,0.3483701336636854
youtube,2000280,초:초:초간단 만능양념장으로 만드는 춘천식 닭갈비! 1:1:1:1:1:1 ㅣ 백종원의 쿠킹로그,https://i.ytimg.com/vi/HI8DlDs1gko/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDMKJHzfzvLGS0EL6N9Rr2b9K7JAQ,https://www.youtube.com/watch?v=HI8DlDs1gko&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=281&pp=iAQB,,,,,2019-09-20,4498585,46193,0,2182,고추장,황설탕,굵은고춧가루,맛술,진간장,간 마늘,닭 다리살,만능양념장,,,1컵,1컵,1컵,1컵,1컵,1컵,350g,1컵,,,0.3398491830030341
